1, 6, 32, 10, 2700, 1, [1 2 3], NA
2, 6, 26, 7, 3400, 1, [19 20], NA
3, 6, 33, 14, 3200, 1, [21 22 23], NA
4, 7, 39, 4, 500, 1, [24 25], 46
5, 6, 35, 13, 1800, 1, [26 27 28], NA
6, 8, 29, 19, 700, 1, [29 30], NA
7, 6, 23, 9, 1600, 1, [31 32], 43
8, 6, 27, 6, 2900, 0, [33 34], NA
9, 7, 31, 17, 2300, 1, [35 36], NA
10, 6, 34, 11, 900, 1, [37 38], 52
11, 6, 42, 12, 1400, 1, [39 40], NA
12, 7, 22, 1, 2100, 1, [41 42], 44
13, 6, 37, 21, 1100, 1, [43 44], NA
14, 8, 30, 16, 2400, 1, [45 46], 50
15, 6, 24, 3, 600, 1, [47 48], 43
16, 7, 25, 2, 2800, 1, [49 50], NA
17, 6, 28, 20, 1300, 0, [51 52], NA
18, 6, 32, 18, 1700, 1, [53 54], 51
19, 6, 36, 5, 400, 1, [55 56], NA
20, 8, 40, 8, 2700, 1, [57 58], 44
21, 7, 38, 10, 800, 1, [59 60], 47
