1, 6, 31, 5, 522, 1, [1 2 3 4], NA
2, 8, 41, 18, 3102, 1, [5 6 7 8], 61
3, 6, 37, 22, 1800, 1, [9 10 11], NA
4, 6, 52, 27, 450, 1, [13 14 15], NA
5, 8, 58, 2, 2500, 1, [17 18], 62
6, 6, 45, 15, 1600, 1, [21 22 23 24], NA
7, 8, 33, 30, 900, 1, [25 26 27], 63
8, 6, 49, 14, 750, 1, [29 30 31 32], NA
9, 8, 36, 8, 1340, 1, [33 34], 64
10, 6, 55, 7, 2900, 1, [37 38 39], NA
11, 6, 60, 20, 650, 0, [41 42 43], NA
12, 6, 53, 9, 255, 1, [45 46 47], NA
13, 8, 31, 25, 3021, 1, [49 50 51], 65
14, 6, 32, 29, 2100, 1, [53 54], NA
15, 6, 57, 10, 180, 0, [57 58], NA
16, 8, 38, 1, 3599, 1, [61 62 63], 66
17, 8, 40, 3, 270, 0, [65 66], 67
18, 6, 54, 11, 1200, 1, [69 70 71], NA
19, 8, 59, 6, 2000, 1, [73 74], 68
20, 6, 47, 19, 1500, 0, [77 78 79 80], NA
