1, 6, 51, 10, 1200, 1, [1 2 3 4], NA
2, 8, 52, 47, 3600, 1, [5 6 7 8], 101
3, 6, 53, 37, 800, 1, [9 10 11], NA
4, 6, 54, 28, 1550, 1, [13 14 15], NA
5, 8, 55, 4, 2300, 1, [17 18], 102
6, 6, 56, 19, 2900, 1, [21 22 23 24], NA
7, 8, 57, 45, 600, 0, [25 26 27], 103
8, 6, 58, 22, 1400, 1, [29 30 31 32], NA
9, 6, 59, 3, 270, 0, [33 34], NA
10, 8, 60, 11, 2100, 1, [37 38 39], 104
11, 6, 61, 2, 900, 1, [41 42 43], NA
12, 6, 62, 17, 350, 1, [45 46 47], NA
13, 8, 63, 33, 3200, 1, [49 50 51], 105
14, 6, 64, 31, 1900, 1, [53 54], NA
15, 6, 65, 8, 1700, 1, [57 58 59], NA
16, 8, 66, 26, 1150, 1, [61 62 63], 106
17, 6, 67, 40, 2850, 1, [65 66 67 68], NA
18, 6, 68, 12, 550, 1, [69 70 71], NA
19, 8, 69, 39, 1600, 1, [73 74], 107
20, 6, 70, 29, 2500, 0, [77 78 79 80], NA
21, 6, 71, 14, 450, 1, [81 82 83], NA
22, 6, 72, 20, 1800, 1, [85 86 87], NA
23, 8, 73, 5, 300, 1, [89 90 91], 108
24, 6, 74, 23, 1500, 1, [93 94], NA
25, 6, 75, 1, 750, 0, [97 98 99], NA
26, 8, 76, 48, 1950, 0, [101 102 103], 109
27, 6, 77, 36, 2400, 1, [105 106 107], NA
28, 6, 78, 16, 360, 1, [109 110 111], NA
29, 8, 89, 27, 180, 0, [113 114], 110
30, 6, 80, 41, 2700, 1, [117 118 119], NA
31, 6, 81, 34, 550, 1, [121 122 123], NA
32, 8, 82, 9, 1300, 1, [125 126 127], 111
33, 6, 83, 49, 290, 1, [129 130 131], NA
34, 6, 84, 21, 2450, 1, [133 134], NA
35, 8, 85, 18, 230, 0, [137 138 139], 112
36, 6, 86, 13, 1200, 1, [141 142 143 144], NA
37, 6, 87, 50, 300, 1, [145 146 147], NA
38, 8, 88, 38, 2100, 0, [149 150 151], 113
39, 6, 89, 30, 800, 1, [153 154], NA
40, 6, 90, 24, 250, 1, [157 158 159], NA
41, 8, 91, 35, 3500, 1, [161 162 163], 114
42, 6, 92, 15, 2800, 1, [165 166 167 168], NA
43, 6, 93, 32, 1750, 1, [169 170], NA
44, 8, 94, 25, 2200, 1, [173 174], 115
45, 6, 95, 44, 600, 1, [177 178 179], NA
46, 8, 96, 6, 150, 1, [181 182 183 184], 116
47, 6, 100, 42, 3600, 1, [185 186 187], NA
48, 6, 97, 7, 1300, 1, [189 190 191], NA
49, 8, 98, 46, 900, 1, [193 194], 117
50, 6, 93, 31, 2500, 1, [197 198 199 200], NA
